DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;CODMUN;MUN;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,6
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;234,3
1;1;Rede Estadual;6;159;ALTINOPOLIS;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,6
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;259,1
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;296,3
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;259,1
1;1;Rede Estadual;5;160;ALTO ALEGRE;9º Ano EF;9;GERAL;2;MATEMÁTICA;296,3
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;235,4
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;254,4
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;235,4
1;1;Rede Estadual;5;161;ALVARES FLORENCE;9º Ano EF;9;GERAL;2;MATEMÁTICA;254,4
1;1;Rede Estadual;5;163;ALVARO DE CARVALHO;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;209,1
1;1;Rede Estadual;5;163;ALVARO DE CARVALHO;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;236,6
1;1;Rede Estadual;5;163;ALVARO DE CARVALHO;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;209,1
1;1;Rede Estadual;5;163;ALVARO DE CARVALHO;9º Ano EF;9;GERAL;2;MATEMÁTICA;236,6
