NO_MUNICIPIO,TP_DEPENDENCIA,QT_DOC_BAS,QT_MAT_BAS,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_BAS_0_3,QT_MAT_BAS_4_5,QT_MAT_BAS_6_10,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_MAT_BAS_18_MAIS,IN_BIBLIOTECA,IN_LABORATORIO_INFORMATICA,IN_INTERNET,IN_QUADRA_ESPORTES,IN_REFEITORIO,ANO
São Paulo,2,23.0,327.0,0.0,233.0,0.0,0.0,1.0,216.0,104.0,6.0,0.0,1.0,1.0,0.0,1.0,2023
São Paulo,2,34.0,480.0,0.0,143.0,0.0,0.0,0.0,122.0,238.0,120.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,27.0,595.0,0.0,0.0,0.0,0.0,0.0,1.0,541.0,53.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,18.0,273.0,0.0,195.0,0.0,0.0,1.0,179.0,88.0,5.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,25.0,457.0,0.0,0.0,0.0,0.0,0.0,4.0,422.0,31.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,126.0,1976.0,0.0,0.0,0.0,0.0,0.0,7.0,1049.0,920.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,20.0,439.0,0.0,127.0,0.0,0.0,0.0,109.0,301.0,29.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,29.0,508.0,0.0,277.0,0.0,0.0,0.0,267.0,227.0,14.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,28.0,598.0,598.0,0.0,0.0,0.0,571.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,30.0,527.0,0.0,339.0,0.0,0.0,0.0,315.0,206.0,6.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,72.0,2046.0,0.0,547.0,0.0,0.0,0.0,515.0,1281.0,250.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,56.0,1486.0,0.0,455.0,0.0,0.0,0.0,427.0,881.0,178.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,25.0,453.0,0.0,295.0,0.0,0.0,0.0,277.0,172.0,4.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,29.0,431.0,0.0,309.0,0.0,0.0,0.0,300.0,124.0,7.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,31.0,564.0,564.0,0.0,0.0,0.0,542.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,36.0,772.0,772.0,0.0,0.0,0.0,740.0,32.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,45.0,1010.0,1010.0,0.0,0.0,0.0,975.0,35.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,28.0,567.0,286.0,281.0,0.0,0.0,267.0,277.0,23.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,36.0,605.0,605.0,0.0,0.0,0.0,580.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2023
São Paulo,2,30.0,628.0,628.0,0.0,0.0,0.0,598.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,26.0,603.0,603.0,0.0,0.0,0.0,581.0,22.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,47.0,931.0,0.0,427.0,0.0,0.0,1.0,397.0,488.0,45.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,56.0,1631.0,0.0,504.0,0.0,0.0,2.0,464.0,977.0,188.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,67.0,1648.0,0.0,536.0,0.0,0.0,1.0,517.0,708.0,422.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,39.0,743.0,0.0,260.0,0.0,0.0,1.0,240.0,466.0,36.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,71.0,1627.0,0.0,405.0,0.0,0.0,1.0,365.0,1158.0,103.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,37.0,748.0,748.0,0.0,0.0,0.0,710.0,38.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,46.0,1102.0,449.0,363.0,0.0,0.0,424.0,353.0,301.0,24.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,36.0,969.0,969.0,0.0,0.0,0.0,939.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2023
São Paulo,2,18.0,319.0,319.0,0.0,0.0,0.0,309.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,18.0,420.0,420.0,0.0,0.0,0.0,411.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2023
São Paulo,2,40.0,765.0,0.0,242.0,0.0,0.0,0.0,230.0,357.0,178.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,33.0,532.0,0.0,218.0,0.0,0.0,0.0,210.0,289.0,33.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,25.0,424.0,0.0,268.0,0.0,0.0,1.0,250.0,164.0,9.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,30.0,510.0,0.0,356.0,0.0,0.0,1.0,339.0,165.0,5.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,25.0,399.0,0.0,285.0,0.0,0.0,1.0,272.0,124.0,2.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,38.0,999.0,0.0,486.0,0.0,0.0,0.0,461.0,490.0,48.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,30.0,535.0,52.0,209.0,0.0,0.0,53.0,186.0,269.0,27.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,26.0,634.0,634.0,0.0,0.0,0.0,604.0,29.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,49.0,1212.0,0.0,521.0,0.0,0.0,1.0,469.0,509.0,233.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,33.0,615.0,615.0,0.0,0.0,0.0,588.0,27.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,56.0,1282.0,592.0,424.0,0.0,0.0,560.0,407.0,278.0,37.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,30.0,696.0,696.0,0.0,0.0,0.0,667.0,29.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,12.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,8.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,16.0,162.0,0.0,89.0,0.0,0.0,0.0,90.0,67.0,5.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,18.0,294.0,294.0,0.0,0.0,0.0,287.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,18.0,285.0,285.0,0.0,0.0,0.0,277.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2023
São Paulo,2,38.0,907.0,907.0,0.0,0.0,0.0,852.0,54.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2023
São Paulo,2,25.0,428.0,0.0,279.0,0.0,0.0,0.0,273.0,149.0,6.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,19.0,469.0,469.0,0.0,0.0,0.0,445.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,34.0,650.0,221.0,180.0,0.0,0.0,210.0,173.0,235.0,32.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,37.0,673.0,0.0,392.0,0.0,0.0,1.0,370.0,275.0,27.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,45.0,966.0,0.0,518.0,0.0,0.0,2.0,474.0,444.0,46.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,45.0,1111.0,528.0,583.0,0.0,0.0,509.0,565.0,37.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,16.0,307.0,307.0,0.0,0.0,0.0,290.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,21.0,358.0,0.0,358.0,0.0,0.0,0.0,343.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,25.0,425.0,425.0,0.0,0.0,0.0,410.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,31.0,583.0,283.0,300.0,0.0,0.0,271.0,295.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,2023
São Paulo,2,38.0,860.0,487.0,373.0,0.0,0.0,452.0,375.0,33.0,0.0,0.0,1.0,1.0,1.0,0.0,2023
São Paulo,2,21.0,381.0,381.0,0.0,0.0,0.0,371.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2023
São José dos Campos,2,48.0,888.0,0.0,389.0,0.0,0.0,0.0,353.0,504.0,31.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,38.0,930.0,303.0,304.0,0.0,0.0,293.0,292.0,324.0,21.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,58.0,1481.0,397.0,563.0,0.0,0.0,363.0,538.0,521.0,59.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,35.0,849.0,849.0,0.0,0.0,0.0,801.0,47.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,131.0,1501.0,0.0,0.0,0.0,0.0,0.0,7.0,696.0,798.0,1.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,29.0,465.0,0.0,326.0,0.0,0.0,3.0,295.0,158.0,9.0,0.0,1.0,1.0,1.0,1.0,2023
São Paulo,2,57.0,1249.0,0.0,561.0,0.0,0.0,1.0,509.0,689.0,50.0,0.0,1.0,1.0,1.0,1.0,2023
