DEPADM;DepBol;NomeDepBol;codRMet;CODMUN;MUN;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;181,4
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;191,5
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;1;MANHÃ;3;CIÊNCIAS;217,8
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;181,4
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;9;GERAL;2;MATEMÁTICA;191,5
1;1;Rede Estadual;5;152;AGUAI;5º Ano EF;9;GERAL;3;CIÊNCIAS;217,8
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;225,8
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;234,2
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;243,8
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;207
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;2;TARDE;2;MATEMÁTICA;214,1
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;2;TARDE;3;CIÊNCIAS;222,7
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;223,6
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;9;GERAL;2;MATEMÁTICA;231,8
1;1;Rede Estadual;5;152;AGUAI;9º Ano EF;9;GERAL;3;CIÊNCIAS;241,3
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;259,8
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;1;MANHÃ;2;MATEMÁTICA;257,1
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;1;MANHÃ;3;CIÊNCIAS;269,4
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;2;TARDE;1;LÍNGUA PORTUGUESA;244,1
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;2;TARDE;2;MATEMÁTICA;255,5
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;2;TARDE;3;CIÊNCIAS;251,8
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;3;NOITE;1;LÍNGUA PORTUGUESA;221,7
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;3;NOITE;2;MATEMÁTICA;233,4
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;3;NOITE;3;CIÊNCIAS;241,4
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;9;GERAL;1;LÍNGUA PORTUGUESA;252,2
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;9;GERAL;2;MATEMÁTICA;253,7
1;1;Rede Estadual;5;152;AGUAI;EM-3ª série;9;GERAL;3;CIÊNCIAS;262
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;162,5
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;2º Ano EF;2;TARDE;2;MATEMÁTICA;184,9
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;162,5
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;2º Ano EF;9;GERAL;2;MATEMÁTICA;184,9
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;206,7
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;2;TARDE;2;MATEMÁTICA;226,9
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;2;TARDE;3;CIÊNCIAS;231
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;206,7
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;9;GERAL;2;MATEMÁTICA;226,9
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;5º Ano EF;9;GERAL;3;CIÊNCIAS;231
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;259
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;277,4
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;1;MANHÃ;3;CIÊNCIAS;283,6
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;259
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;2;MATEMÁTICA;277,4
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;9º Ano EF;9;GERAL;3;CIÊNCIAS;283,6
1;1;Rede Estadual;5;153;AGUAS DE LINDOIA;EM-3ª série;1;MANHÃ;1;LÍNGUA PORTUGUESA;284,9
